,predict
0,3.1846232414245605
1,3.6429195404052734
2,3.1846232414245605
3,3.6429195404052734
4,3.1846232414245605
5,3.1846232414245605
6,3.6429195404052734
7,3.1846232414245605
8,3.1846232414245605
9,3.1846232414245605
10,3.1846232414245605
11,3.1846232414245605
12,3.6429195404052734
13,3.6429195404052734
14,3.1846232414245605
15,3.1846232414245605
16,3.1846232414245605
17,3.1846232414245605
18,3.1846232414245605
19,3.1846232414245605
20,3.6429195404052734
21,3.6429195404052734
22,3.1846232414245605
23,3.6429195404052734
24,3.6429195404052734
25,3.1846232414245605
26,3.1846232414245605
27,3.1846232414245605
28,3.1846232414245605
29,3.1846232414245605
30,3.6429195404052734
31,3.1846232414245605
32,3.6429195404052734
33,3.1846232414245605
34,3.1846232414245605
35,3.6429195404052734
36,3.1846232414245605
37,3.1846232414245605
38,3.1846232414245605
39,3.1846232414245605
40,3.1846232414245605
41,3.1846232414245605
42,3.1846232414245605
43,3.1846232414245605
44,3.1846232414245605
45,3.1846232414245605
46,3.1846232414245605
47,3.1846232414245605
48,3.1846232414245605
49,3.1846232414245605
50,3.1846232414245605
51,3.1846232414245605
52,3.6429195404052734
53,3.1846232414245605
54,3.1846232414245605
55,3.1846232414245605
56,3.1846232414245605
57,3.1846232414245605
58,3.1846232414245605
59,3.1846232414245605
60,3.1846232414245605
61,3.1846232414245605
62,3.1846232414245605
63,3.1846232414245605
64,3.1846232414245605
65,3.1846232414245605
66,3.1846232414245605
67,3.1846232414245605
68,3.6429195404052734
69,3.1846232414245605
70,3.1846232414245605
71,3.1846232414245605
72,3.1846232414245605
73,3.1846232414245605
74,3.1846232414245605
75,3.1846232414245605
76,3.1846232414245605
77,3.1846232414245605
78,3.1846232414245605
79,3.1846232414245605
80,3.6429195404052734
81,3.6429195404052734
82,3.6429195404052734
83,3.6429195404052734
84,3.6429195404052734
85,3.6429195404052734
86,3.6429195404052734
87,3.6429195404052734
88,3.6429195404052734
89,3.6429195404052734
90,3.6429195404052734
91,3.6429195404052734
92,3.6429195404052734
93,3.6429195404052734
94,3.6429195404052734
95,3.6429195404052734
96,3.6429195404052734
97,3.6429195404052734
98,3.6429195404052734
99,3.6429195404052734
100,3.6429195404052734
101,3.6429195404052734
102,3.6429195404052734
103,3.6429195404052734
104,3.6429195404052734
105,3.6429195404052734
106,3.6429195404052734
107,3.6429195404052734
108,3.6429195404052734
109,3.6429195404052734
110,3.6429195404052734
111,3.6429195404052734
112,3.6429195404052734
113,3.6429195404052734
114,3.6429195404052734
115,3.6429195404052734
116,3.6429195404052734
117,3.6429195404052734
118,3.6429195404052734
119,3.6429195404052734
120,3.1846232414245605
121,3.6429195404052734
122,3.6429195404052734
123,3.1846232414245605
124,3.1846232414245605
125,3.1846232414245605
126,3.1846232414245605
127,3.1846232414245605
128,3.1846232414245605
129,3.1846232414245605
130,3.1846232414245605
131,3.1846232414245605
132,3.1846232414245605
133,3.1846232414245605
134,3.1846232414245605
135,3.1846232414245605
136,3.1846232414245605
137,3.1846232414245605
138,3.1846232414245605
139,3.1846232414245605
140,3.1846232414245605
141,3.1846232414245605
142,3.1846232414245605
143,3.1846232414245605
144,3.1846232414245605
145,3.1846232414245605
146,3.1846232414245605
147,3.1846232414245605
148,3.1846232414245605
149,3.1846232414245605
150,3.1846232414245605
151,3.1846232414245605
152,3.1846232414245605
153,3.1846232414245605
154,3.1846232414245605
155,3.1846232414245605
156,3.1846232414245605
