,C10_14℃冰機02運轉電流百分比,C10_14℃冰機02蒸發器1趨近溫度,C10_14℃冰機02冷凝器2趨近溫度,C10_14℃_冰機冷卻水溫差PID_PV值,CR1_C/T_To_14℃冰機冷卻水溫503,L8BH_L70_Outside_Air_Enthalpy
min,51.677616826201586,1.698331644985663,1.1659187530108792,5.016485109011748,26.732013345728358,36.32644050712544
max,70.42238317379841,2.2116683550143375,1.7040812469891207,6.723514890988252,30.427986654271642,87.47355949287456
