,C10_14℃冰機02運轉電流百分比,C10_14℃冰機02蒸發器1趨近溫度,C10_14℃冰機02冷凝器2趨近溫度,C10_14℃_冰機冷卻水溫差PID_PV值,CR1_C/T_To_14℃冰機冷卻水溫503,L8BH_L70_Outside_Air_Enthalpy
min,51.67636963086172,1.698247817904502,1.1658752115267748,5.016603671389818,26.732110751858897,36.326471632494616
max,70.42363036913828,2.2117521820954984,1.7041247884732251,6.723396328610182,30.427889248141103,87.47352836750538
