,col1,col2,value
0,C10_14℃冰機02蒸發器1趨近溫度,C10_14℃冰機02蒸發器1趨近溫度,1.0
1,C10_14℃冰機02蒸發器1趨近溫度,C10_14℃冰機02冷凝器2趨近溫度,0.48896557399577795
2,C10_14℃冰機02蒸發器1趨近溫度,C10_14℃_冰機冷卻水溫差PID_PV值,-0.01686361057900729
3,C10_14℃冰機02蒸發器1趨近溫度,CR1_C/T_To_14℃冰機冷卻水溫503,0.2777012349720593
4,C10_14℃冰機02蒸發器1趨近溫度,L8BH_L70_Outside_Air_Enthalpy,0.49301242939526363
5,C10_14℃冰機02冷凝器2趨近溫度,C10_14℃冰機02蒸發器1趨近溫度,0.48896557399577795
6,C10_14℃冰機02冷凝器2趨近溫度,C10_14℃冰機02冷凝器2趨近溫度,1.0
7,C10_14℃冰機02冷凝器2趨近溫度,C10_14℃_冰機冷卻水溫差PID_PV值,0.008079882924725876
8,C10_14℃冰機02冷凝器2趨近溫度,CR1_C/T_To_14℃冰機冷卻水溫503,-0.14655484899504456
9,C10_14℃冰機02冷凝器2趨近溫度,L8BH_L70_Outside_Air_Enthalpy,0.26835098797787027
10,C10_14℃_冰機冷卻水溫差PID_PV值,C10_14℃冰機02蒸發器1趨近溫度,-0.01686361057900729
11,C10_14℃_冰機冷卻水溫差PID_PV值,C10_14℃冰機02冷凝器2趨近溫度,0.008079882924725876
12,C10_14℃_冰機冷卻水溫差PID_PV值,C10_14℃_冰機冷卻水溫差PID_PV值,1.0
13,C10_14℃_冰機冷卻水溫差PID_PV值,CR1_C/T_To_14℃冰機冷卻水溫503,-0.017963990801214542
14,C10_14℃_冰機冷卻水溫差PID_PV值,L8BH_L70_Outside_Air_Enthalpy,0.055568880427370286
15,CR1_C/T_To_14℃冰機冷卻水溫503,C10_14℃冰機02蒸發器1趨近溫度,0.2777012349720593
16,CR1_C/T_To_14℃冰機冷卻水溫503,C10_14℃冰機02冷凝器2趨近溫度,-0.14655484899504456
17,CR1_C/T_To_14℃冰機冷卻水溫503,C10_14℃_冰機冷卻水溫差PID_PV值,-0.017963990801214542
18,CR1_C/T_To_14℃冰機冷卻水溫503,CR1_C/T_To_14℃冰機冷卻水溫503,1.0
19,CR1_C/T_To_14℃冰機冷卻水溫503,L8BH_L70_Outside_Air_Enthalpy,0.5253946138136937
20,L8BH_L70_Outside_Air_Enthalpy,C10_14℃冰機02蒸發器1趨近溫度,0.49301242939526363
21,L8BH_L70_Outside_Air_Enthalpy,C10_14℃冰機02冷凝器2趨近溫度,0.26835098797787027
22,L8BH_L70_Outside_Air_Enthalpy,C10_14℃_冰機冷卻水溫差PID_PV值,0.055568880427370286
23,L8BH_L70_Outside_Air_Enthalpy,CR1_C/T_To_14℃冰機冷卻水溫503,0.5253946138136937
24,L8BH_L70_Outside_Air_Enthalpy,L8BH_L70_Outside_Air_Enthalpy,1.0
