,predict
0,64.15699768066406
1,64.15699768066406
2,64.15699768066406
3,64.15699768066406
4,64.15699768066406
5,64.15699768066406
6,64.15699768066406
7,64.15699768066406
8,64.15699768066406
9,64.15699768066406
10,64.15699768066406
11,64.15699768066406
12,64.15699768066406
13,64.15699768066406
14,64.15699768066406
15,64.15699768066406
16,64.15699768066406
17,64.15699768066406
18,64.15699768066406
19,64.15699768066406
20,64.15699768066406
21,64.15699768066406
22,64.15699768066406
23,64.15699768066406
24,64.15699768066406
25,64.15699768066406
26,64.15699768066406
27,64.15699768066406
28,64.15699768066406
29,64.15699768066406
30,64.15699768066406
31,64.15699768066406
32,64.15699768066406
33,64.15699768066406
34,64.15699768066406
35,64.15699768066406
36,64.15699768066406
37,64.15699768066406
38,64.15699768066406
39,64.15699768066406
40,64.15699768066406
41,64.15699768066406
42,64.15699768066406
43,64.15699768066406
44,64.15699768066406
45,64.15699768066406
46,64.15699768066406
47,64.15699768066406
48,64.15699768066406
49,64.15699768066406
50,64.15699768066406
51,64.15699768066406
52,64.15699768066406
53,64.15699768066406
54,64.15699768066406
55,64.15699768066406
56,64.15699768066406
57,64.15699768066406
58,64.15699768066406
59,64.15699768066406
60,64.15699768066406
61,64.15699768066406
62,64.15699768066406
63,64.15699768066406
64,64.15699768066406
65,64.15699768066406
66,64.15699768066406
67,64.15699768066406
68,64.15699768066406
69,64.15699768066406
70,64.15699768066406
71,64.15699768066406
72,64.15699768066406
73,64.15699768066406
74,64.15699768066406
75,64.15699768066406
76,64.15699768066406
77,64.15699768066406
78,64.15699768066406
79,64.15699768066406
80,64.15699768066406
81,64.15699768066406
82,64.15699768066406
83,64.15699768066406
84,64.15699768066406
85,64.15699768066406
86,64.15699768066406
87,64.15699768066406
88,64.15699768066406
89,64.15699768066406
90,64.15699768066406
91,64.15699768066406
92,64.15699768066406
93,64.15699768066406
94,64.15699768066406
95,64.15699768066406
96,64.15699768066406
97,64.15699768066406
98,64.15699768066406
99,64.15699768066406
100,64.15699768066406
101,64.15699768066406
102,64.15699768066406
103,64.15699768066406
104,64.15699768066406
105,64.15699768066406
106,64.15699768066406
107,64.15699768066406
108,64.15699768066406
109,64.15699768066406
110,64.15699768066406
111,64.15699768066406
112,64.15699768066406
113,64.15699768066406
114,64.15699768066406
115,64.15699768066406
116,64.15699768066406
117,64.15699768066406
118,64.15699768066406
119,64.15699768066406
120,64.15699768066406
121,64.15699768066406
122,64.15699768066406
123,64.15699768066406
124,64.15699768066406
125,64.15699768066406
126,64.15699768066406
127,64.15699768066406
128,64.15699768066406
129,64.15699768066406
130,64.15699768066406
131,64.15699768066406
132,64.15699768066406
133,64.15699768066406
134,64.15699768066406
135,64.15699768066406
136,64.15699768066406
137,64.15699768066406
138,64.15699768066406
139,64.15699768066406
140,64.15699768066406
141,64.15699768066406
142,64.15699768066406
143,64.15699768066406
144,64.15699768066406
145,64.15699768066406
146,64.15699768066406
147,64.15699768066406
148,64.15699768066406
149,64.15699768066406
150,64.15699768066406
151,64.15699768066406
152,64.15699768066406
153,64.15699768066406
154,64.15699768066406
155,64.15699768066406
156,64.15699768066406
157,64.15699768066406
158,64.15699768066406
159,64.15699768066406
160,64.15699768066406
161,64.15699768066406
162,64.15699768066406
163,64.15699768066406
164,64.15699768066406
165,64.15699768066406
166,64.15699768066406
167,64.15699768066406
168,64.15699768066406
169,64.15699768066406
170,64.15699768066406
171,64.15699768066406
172,64.15699768066406
173,64.15699768066406
174,64.15699768066406
175,64.15699768066406
176,64.15699768066406
177,64.15699768066406
178,64.15699768066406
179,64.15699768066406
180,64.15699768066406
181,64.15699768066406
182,64.15699768066406
183,64.15699768066406
184,64.15699768066406
185,64.15699768066406
186,64.15699768066406
187,64.15699768066406
188,64.15699768066406
189,64.15699768066406
190,64.15699768066406
191,64.15699768066406
192,64.15699768066406
193,64.15699768066406
194,64.15699768066406
195,64.15699768066406
196,64.15699768066406
197,64.15699768066406
198,64.15699768066406
199,64.15699768066406
200,64.15699768066406
201,64.15699768066406
202,64.15699768066406
203,64.15699768066406
204,64.15699768066406
205,64.15699768066406
206,64.15699768066406
207,64.15699768066406
208,64.15699768066406
209,64.15699768066406
210,64.15699768066406
211,64.15699768066406
212,64.15699768066406
213,64.15699768066406
214,64.15699768066406
215,64.15699768066406
216,64.15699768066406
217,64.15699768066406
218,64.15699768066406
219,64.15699768066406
220,64.15699768066406
221,64.15699768066406
222,64.15699768066406
223,64.15699768066406
224,64.15699768066406
225,64.15699768066406
226,64.15699768066406
227,64.15699768066406
228,64.15699768066406
229,64.15699768066406
230,64.15699768066406
231,64.15699768066406
232,64.15699768066406
233,64.15699768066406
234,64.15699768066406
235,64.15699768066406
236,64.15699768066406
237,64.15699768066406
238,64.15699768066406
239,64.15699768066406
240,64.15699768066406
241,64.15699768066406
242,64.15699768066406
243,64.15699768066406
244,64.15699768066406
245,64.15699768066406
246,64.15699768066406
247,64.15699768066406
