,col1,col2,value
0,C10_14℃冰機02蒸發器1趨近溫度,C10_14℃冰機02蒸發器1趨近溫度,1.0
1,C10_14℃冰機02蒸發器1趨近溫度,C10_14℃冰機02冷凝器2趨近溫度,0.4883232127747049
2,C10_14℃冰機02蒸發器1趨近溫度,C10_14℃_冰機冷卻水溫差PID_PV值,-0.01722997344497314
3,C10_14℃冰機02蒸發器1趨近溫度,CR1_C/T_To_14℃冰機冷卻水溫503,0.2782102616803464
4,C10_14℃冰機02蒸發器1趨近溫度,L8BH_L70_Outside_Air_Enthalpy,0.49277308156457417
5,C10_14℃冰機02冷凝器2趨近溫度,C10_14℃冰機02蒸發器1趨近溫度,0.4883232127747049
6,C10_14℃冰機02冷凝器2趨近溫度,C10_14℃冰機02冷凝器2趨近溫度,1.0
7,C10_14℃冰機02冷凝器2趨近溫度,C10_14℃_冰機冷卻水溫差PID_PV值,0.008361202655878244
8,C10_14℃冰機02冷凝器2趨近溫度,CR1_C/T_To_14℃冰機冷卻水溫503,-0.14666316104171823
9,C10_14℃冰機02冷凝器2趨近溫度,L8BH_L70_Outside_Air_Enthalpy,0.26829193968561216
10,C10_14℃_冰機冷卻水溫差PID_PV值,C10_14℃冰機02蒸發器1趨近溫度,-0.01722997344497314
11,C10_14℃_冰機冷卻水溫差PID_PV值,C10_14℃冰機02冷凝器2趨近溫度,0.008361202655878244
12,C10_14℃_冰機冷卻水溫差PID_PV值,C10_14℃_冰機冷卻水溫差PID_PV值,1.0
13,C10_14℃_冰機冷卻水溫差PID_PV值,CR1_C/T_To_14℃冰機冷卻水溫503,-0.017864360789274347
14,C10_14℃_冰機冷卻水溫差PID_PV值,L8BH_L70_Outside_Air_Enthalpy,0.05530936376605584
15,CR1_C/T_To_14℃冰機冷卻水溫503,C10_14℃冰機02蒸發器1趨近溫度,0.2782102616803464
16,CR1_C/T_To_14℃冰機冷卻水溫503,C10_14℃冰機02冷凝器2趨近溫度,-0.14666316104171823
17,CR1_C/T_To_14℃冰機冷卻水溫503,C10_14℃_冰機冷卻水溫差PID_PV值,-0.017864360789274347
18,CR1_C/T_To_14℃冰機冷卻水溫503,CR1_C/T_To_14℃冰機冷卻水溫503,1.0
19,CR1_C/T_To_14℃冰機冷卻水溫503,L8BH_L70_Outside_Air_Enthalpy,0.5264388743193622
20,L8BH_L70_Outside_Air_Enthalpy,C10_14℃冰機02蒸發器1趨近溫度,0.49277308156457417
21,L8BH_L70_Outside_Air_Enthalpy,C10_14℃冰機02冷凝器2趨近溫度,0.26829193968561216
22,L8BH_L70_Outside_Air_Enthalpy,C10_14℃_冰機冷卻水溫差PID_PV值,0.05530936376605584
23,L8BH_L70_Outside_Air_Enthalpy,CR1_C/T_To_14℃冰機冷卻水溫503,0.5264388743193622
24,L8BH_L70_Outside_Air_Enthalpy,L8BH_L70_Outside_Air_Enthalpy,1.0
