,col1,col2,value
101,MLSS_Areation_2,ORP_Anoxic_2,-0.7164140959448771
102,MLSS_Areation_2,MLSS_Anoxic_2,0.446623794076083
103,MLSS_Areation_2,TOC_in_total,0.21045606478068338
104,MLSS_Areation_2,TOC_out,0.4559324211155103
105,PH_Anoxic_1,PH_Areation_1,0.02687784737396132
106,PH_Anoxic_1,ORP_Areation_1,-0.18892443798085032
107,PH_Anoxic_1,MLSS_Areation_1,0.36329519420402157
108,PH_Anoxic_1,DO_Areation_2,0.25956322306681984
109,PH_Anoxic_1,PH_Areation_2,-0.12267296814463216
110,PH_Anoxic_1,ORP_Areation_2,0.22343273181193407
111,PH_Anoxic_1,MLSS_Areation_2,0.34267032921521007
112,PH_Anoxic_1,PH_Anoxic_1,1.0
113,PH_Anoxic_1,ORP_Anoxic_1,-0.2801296803467381
114,PH_Anoxic_1,MLSS_Anoxic_1,0.09212712668019836
115,PH_Anoxic_1,PH_Anoxic_2,0.29437098031755843
116,PH_Anoxic_1,ORP_Anoxic_2,-0.5755805718494214
117,PH_Anoxic_1,MLSS_Anoxic_2,0.33428963170968484
118,PH_Anoxic_1,TOC_in_total,0.17651627982527845
119,PH_Anoxic_1,TOC_out,0.037129529447981986
120,ORP_Anoxic_1,PH_Areation_1,0.15524076782563714
121,ORP_Anoxic_1,ORP_Areation_1,0.10817970566354576
122,ORP_Anoxic_1,MLSS_Areation_1,-0.24632518833929556
123,ORP_Anoxic_1,DO_Areation_2,-0.0019047748208968903
124,ORP_Anoxic_1,PH_Areation_2,-0.06752556645216765
125,ORP_Anoxic_1,ORP_Areation_2,-0.2512817526367372
126,ORP_Anoxic_1,MLSS_Areation_2,-0.38263668033190595
127,ORP_Anoxic_1,PH_Anoxic_1,-0.2801296803467381
128,ORP_Anoxic_1,ORP_Anoxic_1,1.0
129,ORP_Anoxic_1,MLSS_Anoxic_1,-0.13627390261981503
130,ORP_Anoxic_1,PH_Anoxic_2,-0.13237192524350697
131,ORP_Anoxic_1,ORP_Anoxic_2,0.6357343171955765
132,ORP_Anoxic_1,MLSS_Anoxic_2,-0.2886669876933332
133,ORP_Anoxic_1,TOC_in_total,-0.03758299478035518
134,ORP_Anoxic_1,TOC_out,0.006236646805021974
135,MLSS_Anoxic_1,PH_Areation_1,0.04476092632659943
136,MLSS_Anoxic_1,ORP_Areation_1,-0.09257576581849473
137,MLSS_Anoxic_1,MLSS_Areation_1,0.378005023761384
138,MLSS_Anoxic_1,DO_Areation_2,0.12517358054911604
139,MLSS_Anoxic_1,PH_Areation_2,-0.08710125775124737
140,MLSS_Anoxic_1,ORP_Areation_2,0.3474531362357032
141,MLSS_Anoxic_1,MLSS_Areation_2,0.2388582521949316
142,MLSS_Anoxic_1,PH_Anoxic_1,0.09212712668019836
143,MLSS_Anoxic_1,ORP_Anoxic_1,-0.13627390261981503
144,MLSS_Anoxic_1,MLSS_Anoxic_1,1.0
145,MLSS_Anoxic_1,PH_Anoxic_2,0.3115894158290777
146,MLSS_Anoxic_1,ORP_Anoxic_2,-0.19501967963277764
147,MLSS_Anoxic_1,MLSS_Anoxic_2,0.4169506175436657
148,MLSS_Anoxic_1,TOC_in_total,-0.07964031979149684
149,MLSS_Anoxic_1,TOC_out,-0.010991440305477124
150,PH_Anoxic_2,PH_Areation_1,0.3102806987893497
151,PH_Anoxic_2,ORP_Areation_1,0.0960329185226502
152,PH_Anoxic_2,MLSS_Areation_1,-0.046039102110714505
153,PH_Anoxic_2,DO_Areation_2,0.04489315768112917
154,PH_Anoxic_2,PH_Areation_2,0.24124431395573637
155,PH_Anoxic_2,ORP_Areation_2,0.29973300197871877
