,col1,col2,value
0,C10_14℃冰機02蒸發器1趨近溫度,C10_14℃冰機02蒸發器1趨近溫度,1.0
1,C10_14℃冰機02蒸發器1趨近溫度,C10_14℃冰機02冷凝器2趨近溫度,0.4885522109383814
2,C10_14℃冰機02蒸發器1趨近溫度,C10_14℃_冰機冷卻水溫差PID_PV值,-0.017143581646654343
3,C10_14℃冰機02蒸發器1趨近溫度,CR1_C/T_To_14℃冰機冷卻水溫503,0.2782734794311229
4,C10_14℃冰機02蒸發器1趨近溫度,L8BH_L70_Outside_Air_Enthalpy,0.4929117784544823
5,C10_14℃冰機02冷凝器2趨近溫度,C10_14℃冰機02蒸發器1趨近溫度,0.4885522109383814
6,C10_14℃冰機02冷凝器2趨近溫度,C10_14℃冰機02冷凝器2趨近溫度,1.0
7,C10_14℃冰機02冷凝器2趨近溫度,C10_14℃_冰機冷卻水溫差PID_PV值,0.008480891339605811
8,C10_14℃冰機02冷凝器2趨近溫度,CR1_C/T_To_14℃冰機冷卻水溫503,-0.1463011352112822
9,C10_14℃冰機02冷凝器2趨近溫度,L8BH_L70_Outside_Air_Enthalpy,0.2685948766356009
10,C10_14℃_冰機冷卻水溫差PID_PV值,C10_14℃冰機02蒸發器1趨近溫度,-0.017143581646654343
11,C10_14℃_冰機冷卻水溫差PID_PV值,C10_14℃冰機02冷凝器2趨近溫度,0.008480891339605811
12,C10_14℃_冰機冷卻水溫差PID_PV值,C10_14℃_冰機冷卻水溫差PID_PV值,1.0
13,C10_14℃_冰機冷卻水溫差PID_PV值,CR1_C/T_To_14℃冰機冷卻水溫503,-0.017972623321794477
14,C10_14℃_冰機冷卻水溫差PID_PV值,L8BH_L70_Outside_Air_Enthalpy,0.05518957176978402
15,CR1_C/T_To_14℃冰機冷卻水溫503,C10_14℃冰機02蒸發器1趨近溫度,0.2782734794311229
16,CR1_C/T_To_14℃冰機冷卻水溫503,C10_14℃冰機02冷凝器2趨近溫度,-0.1463011352112822
17,CR1_C/T_To_14℃冰機冷卻水溫503,C10_14℃_冰機冷卻水溫差PID_PV值,-0.017972623321794477
18,CR1_C/T_To_14℃冰機冷卻水溫503,CR1_C/T_To_14℃冰機冷卻水溫503,1.0
19,CR1_C/T_To_14℃冰機冷卻水溫503,L8BH_L70_Outside_Air_Enthalpy,0.5262616288987614
20,L8BH_L70_Outside_Air_Enthalpy,C10_14℃冰機02蒸發器1趨近溫度,0.4929117784544823
21,L8BH_L70_Outside_Air_Enthalpy,C10_14℃冰機02冷凝器2趨近溫度,0.2685948766356009
22,L8BH_L70_Outside_Air_Enthalpy,C10_14℃_冰機冷卻水溫差PID_PV值,0.05518957176978402
23,L8BH_L70_Outside_Air_Enthalpy,CR1_C/T_To_14℃冰機冷卻水溫503,0.5262616288987614
24,L8BH_L70_Outside_Air_Enthalpy,L8BH_L70_Outside_Air_Enthalpy,1.0
